# A list of pairs, left: old-name-of-module, right: new-name-of-module.
acl ansible.posix.acl
bigiq_application_fasthttp f5networks.f5_modules.bigiq_application_fasthttp
bigiq_application_fastl4_tcp f5networks.f5_modules.bigiq_application_fastl4_tcp
bigiq_application_fastl4_udp f5networks.f5_modules.bigiq_application_fastl4_udp
bigiq_application_http f5networks.f5_modules.bigiq_application_http
bigiq_application_https_offload f5networks.f5_modules.bigiq_application_https_offload
bigiq_application_https_waf f5networks.f5_modules.bigiq_application_https_waf
bigiq_device_discovery f5networks.f5_modules.bigiq_device_discovery
bigiq_device_info f5networks.f5_modules.bigiq_device_info
bigiq_regkey_license f5networks.f5_modules.bigiq_regkey_license
bigiq_regkey_license_assignment f5networks.f5_modules.bigiq_regkey_license_assignment
bigiq_regkey_pool f5networks.f5_modules.bigiq_regkey_pool
bigiq_utility_license f5networks.f5_modules.bigiq_utility_license
bigiq_utility_license_assignment f5networks.f5_modules.bigiq_utility_license_assignment
bigpanda community.general.bigpanda
bitbucket_access_key community.general.bitbucket_access_key
bitbucket_pipeline_key_pair community.general.bitbucket_pipeline_key_pair
bitbucket_pipeline_known_host community.general.bitbucket_pipeline_known_host
bitbucket_pipeline_variable community.general.bitbucket_pipeline_variable
blockinfile ansible.builtin.blockinfile
bower community.general.bower
bundler community.general.bundler
bzr community.general.bzr
campfire community.general.campfire
capabilities community.general.capabilities
catapult community.general.catapult
certificate_complete_chain community.crypto.certificate_complete_chain
circonus_annotation community.general.circonus_annotation
cisco_webex community.general.cisco_webex
clc_aa_policy community.general.clc_aa_policy
clc_alert_policy community.general.clc_alert_policy
clc_blueprint_package community.general.clc_blueprint_package
clc_firewall_policy community.general.clc_firewall_policy
clc_group community.general.clc_group
clc_loadbalancer community.general.clc_loadbalancer
clc_modify_server community.general.clc_modify_server
clc_publicip community.general.clc_publicip
clc_server community.general.clc_server
clc_server_snapshot community.general.clc_server_snapshot
cli_command ansible.netcommon.cli_command
cli_config ansible.netcommon.cli_config
cli_parse ansible.netcommon.cli_parse
cli_parse ansible.utils.cli_parse
cloud_init_data_facts community.general.cloud_init_data_facts
cloudflare_dns community.general.cloudflare_dns
cobbler_sync community.general.cobbler_sync
cobbler_system community.general.cobbler_system
command ansible.builtin.command
composer community.general.composer
consul community.general.consul
consul_acl community.general.consul_acl
consul_kv community.general.consul_kv
consul_session community.general.consul_session
copr community.general.copr
copy ansible.builtin.copy
correlation_search splunk.es.correlation_search
correlation_search_info splunk.es.correlation_search_info
cpanm community.general.cpanm
cron ansible.builtin.cron
cronvar community.general.cronvar
crypttab community.general.crypttab
data_input_monitor splunk.es.data_input_monitor
data_input_network splunk.es.data_input_network
datadog_downtime community.general.datadog_downtime
datadog_event community.general.datadog_event
datadog_monitor community.general.datadog_monitor
dconf community.general.dconf
debconf ansible.builtin.debconf
debug ansible.builtin.debug
deploy ibm.qradar.deploy
deploy_helper community.general.deploy_helper
dimensiondata_network community.general.dimensiondata_network
dimensiondata_vlan community.general.dimensiondata_vlan
discord community.general.discord
django_manage community.general.django_manage
